Comment,Designator,Footprint,LCSC
BSS138,"Q1,Q10,Q11,Q12,Q13,Q14,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9",SOT-23,C112239
100k,"R50,R51,R55",R_0805_2012Metric,C149504
10nF,C11,C_0402_1005Metric,C15195
100nF,"C1,C10,C14,C4,C6,C9",C_0402_1005Metric,C1525
4.7nF,"C13,C15",C_0402_1005Metric,C1538
10uF,C16,C_0402_1005Metric,C15525
TYPE-C-31-M12_13,J1,USB_C_Receptacle_TYPE-C-31-M-12,C165948
10K,"R47,R56",R_0805_2012Metric,C17414
150,"R19,R21,R25,R27,R31,R35,R39,R41,R43,R45",R_0805_2012Metric,C17471
1M,R54,R_0805_2012Metric,C17514
20,"R1,R10,R11,R14,R15,R16,R17,R2,R5,R6,R7,R8",R_0805_2012Metric,C17544
2K,"R48,R49",R_0805_2012Metric,C17604
300,"R20,R22,R23,R24,R26,R28,R29,R30,R32,R33,R34,R36,R37,R38,R40,R42,R44,R46",R_0805_2012Metric,C17617
51,"R12,R13,R18,R3,R4,R9",R_0805_2012Metric,C17738
4.7uF,C5,C_0402_1005Metric,C23733
PT12-21B_TR8,"PT1,PT10,PT11,PT12,PT13,PT14,PT15,PT16,PT17,PT18,PT19,PT2,PT20,PT21,PT22,PT23,PT24,PT25,PT26,PT27,PT28,PT29,PT3,PT30,PT31,PT32,PT33,PT34,PT35,PT36,PT37,PT38,PT39,PT4,PT40,PT41,PT42,PT43,PT44,PT45,PT46,PT47,PT48,PT49,PT5,PT50,PT51,PT52,PT53,PT54,PT55,PT56,PT57,PT58,PT59,PT6,PT60,PT61,PT62,PT63,PT64,PT65,PT66,PT7,PT8,PT9",PT12-21B_TR8,C264383
USBLC6-2SC6,U4,SOT-23-6,C2687116
5.1k,"R52,R53",R_0805_2012Metric,C27834
DTC123J,Q15,SOT-23,C406040
1uF,"C12,C2,C3,C7,C8",C_0402_1005Metric,C52923
IR12-21C_TR8,"IR1,IR10,IR11,IR12,IR13,IR14,IR15,IR16,IR17,IR18,IR19,IR2,IR20,IR21,IR22,IR23,IR24,IR25,IR26,IR27,IR28,IR29,IR3,IR30,IR31,IR32,IR33,IR34,IR35,IR36,IR37,IR38,IR39,IR4,IR40,IR41,IR42,IR43,IR44,IR45,IR46,IR47,IR48,IR49,IR5,IR50,IR51,IR52,IR53,IR54,IR55,IR56,IR57,IR58,IR59,IR6,IR60,IR61,IR62,IR63,IR64,IR65,IR66,IR7,IR8,IR9",IR12-21C_TR8,C53672
MCP1700-3302E_SOT23,U3,SOT-23,C5446
RS-1515MBAM,"RGB1,RGB10,RGB11,RGB12,RGB13,RGB14,RGB15,RGB16,RGB17,RGB18,RGB19,RGB2,RGB20,RGB21,RGB22,RGB23,RGB24,RGB25,RGB26,RGB27,RGB28,RGB29,RGB3,RGB30,RGB31,RGB32,RGB33,RGB34,RGB35,RGB36,RGB37,RGB38,RGB39,RGB4,RGB40,RGB41,RGB42,RGB43,RGB44,RGB45,RGB46,RGB47,RGB48,RGB49,RGB5,RGB50,RGB51,RGB52,RGB53,RGB54,RGB55,RGB56,RGB57,RGB58,RGB59,RGB6,RGB60,RGB61,RGB62,RGB63,RGB64,RGB65,RGB66,RGB7,RGB8,RGB9",RS-1515MBAM-RGB_LED-TopRight,C727906
STM32G431KxT_Ux-LQFP32_UFQFPN32,U1,LQFP-32_7x7mm_P0.8mm,C730098
CAT24C512WI-GT3,U5,SOIC-8_5.23x5.23mm_P1.27mm,C79986
1N4148,"D3,D4,D5,D6",D_SOD-123,C81598
1.5A Trip PTC,F1,Fuse_1812_4532Metric,C84140
SW_Push,RESET1,K2-1187SQ-A4SW-06,C92584
IS31FL3743A,U2,QFN-40-IS31FL3743A_0.2mmClearance,
SMF9.0CA,D2,D_SOD-123,
RB060M-60TR,D1,D_SOD-123,
